GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-security-jwt,com.example.spring_security_jwt.entity,AuthRequest,14,0,0,0,6,0,4,0,4,0
spring-security-jwt,com.example.spring_security_jwt.entity,UserInfo,3,0,0,0,2,0,1,0,1,0
spring-security-jwt,com.example.spring_security_jwt.config,SecurityConfig,84,0,0,0,18,0,9,0,9,0
spring-security-jwt,com.example.spring_security_jwt.filter,JwtFilter,66,0,10,0,16,0,7,0,2,0
spring-security-jwt,com.example.spring_security_jwt,SpringSecurityJwtApplication,8,0,0,0,3,0,2,0,2,0
spring-security-jwt,com.example.spring_security_jwt.controller,EmailController,136,0,14,0,38,0,12,0,5,0
spring-security-jwt,com.example.spring_security_jwt.controller,WeatherController,21,0,0,0,7,0,4,0,4,0
spring-security-jwt,com.example.spring_security_jwt.controller,UserController,44,0,2,0,10,0,7,0,6,0
spring-security-jwt,com.example.spring_security_jwt.service,WeatherDataService,58,0,0,0,14,0,3,0,3,0
spring-security-jwt,com.example.spring_security_jwt.service,EmailService,519,0,30,0,136,0,26,0,11,0
spring-security-jwt,com.example.spring_security_jwt.service,JwtService,94,0,4,0,20,0,11,0,9,0
spring-security-jwt,com.example.spring_security_jwt.service,UserInfoService,47,0,0,0,8,0,6,0,6,0
spring-security-jwt,com.example.spring_security_jwt.service,UserInfoDetails,46,0,0,0,14,0,8,0,8,0
